iter	Passed	Remaining
0	52	52650
1	53	26481
2	53	17711
3	53	13338
4	54	10894
5	55	9113
6	55	7834
7	55	6875
8	55	6128
9	55	5533
10	56	5084
11	56	4681
12	57	4338
13	57	4043
14	57	3788
15	57	3564
16	58	3365
17	58	3186
18	58	3027
19	58	2883
20	59	2752
21	59	2634
22	60	2568
23	60	2471
24	61	2380
25	61	2297
26	61	2219
27	62	2158
28	62	2088
29	62	2023
30	62	1964
31	63	1909
32	63	1857
33	63	1809
34	63	1763
35	64	1720
36	64	1679
37	64	1640
38	65	1603
39	65	1578
40	65	1543
41	66	1509
42	66	1487
43	67	1456
44	67	1427
45	67	1409
46	68	1383
47	68	1358
48	68	1334
49	69	1312
50	69	1289
51	69	1267
52	70	1253
53	70	1232
54	70	1212
55	70	1193
56	71	1176
57	71	1159
58	72	1150
59	72	1134
60	72	1118
61	72	1103
62	73	1088
63	73	1074
64	73	1060
65	73	1046
66	74	1032
67	74	1019
68	74	1006
69	74	994
70	76	998
71	76	986
72	76	974
73	76	962
74	77	951
75	77	942
76	77	932
77	78	922
78	78	912
79	78	903
80	78	894
81	79	885
82	79	875
83	79	866
84	79	857
85	79	849
86	80	840
87	80	832
88	80	824
89	82	829
90	82	822
91	82	815
92	82	808
93	83	801
94	83	794
95	83	787
96	83	780
97	84	773
98	84	766
99	84	760
100	84	754
101	85	748
102	85	743
103	85	737
104	85	732
105	86	726
106	86	724
107	87	719
108	87	713
109	88	712
110	88	708
111	88	703
112	88	698
113	89	693
114	89	688
115	89	683
116	89	678
117	90	673
118	90	669
119	90	664
120	90	659
121	91	658
122	91	654
123	92	653
124	92	649
125	93	645
126	95	656
127	95	653
128	96	649
129	96	645
130	96	642
131	98	649
132	99	646
133	99	642
134	99	638
135	99	634
136	103	650
137	103	646
138	103	643
139	104	639
140	104	635
141	104	631
142	106	638
143	106	635
144	107	631
145	107	628
146	107	625
147	107	621
148	108	618
149	108	614
150	111	624
151	111	621
152	111	618
153	111	614
154	112	611
155	114	617
156	115	618
157	115	615
158	115	612
159	116	609
160	116	605
161	118	614
162	119	611
163	119	608
164	119	605
165	119	602
166	123	616
167	123	613
168	124	610
169	124	607
170	124	604
171	125	601
172	125	601
173	126	598
174	126	595
175	126	593
176	126	590
177	127	587
178	127	584
179	129	591
180	130	589
181	130	586
182	131	588
183	132	586
184	133	586
185	133	584
186	133	582
187	134	579
188	134	576
189	135	579
190	136	576
191	136	574
192	136	571
193	137	569
194	137	566
195	138	566
196	138	566
197	139	564
198	139	563
199	140	561
200	141	562
201	141	560
202	142	558
203	142	557
204	143	556
205	143	554
206	144	551
207	144	549
208	145	551
209	145	548
210	146	549
211	147	549
212	148	547
213	148	546
214	149	545
215	149	543
216	150	542
217	151	544
218	152	543
219	153	542
220	153	540
221	153	537
222	154	537
223	154	535
224	154	532
225	154	530
226	155	528
227	156	529
228	156	527
229	157	527
230	157	525
231	158	525
232	159	523
233	159	523
234	160	520
235	160	520
236	161	518
237	161	516
238	162	517
239	163	517
240	163	515
241	163	513
242	164	511
243	164	509
244	164	507
245	165	505
246	165	503
247	165	501
248	165	500
249	166	498
250	167	499
251	167	497
252	167	495
253	168	493
254	168	493
255	169	491
256	169	489
257	169	488
258	170	486
259	170	485
260	170	483
261	171	482
262	171	480
263	171	478
264	171	476
265	172	476
266	172	474
267	173	473
268	173	471
269	173	469
270	174	468
271	174	468
272	175	466
273	175	464
274	175	462
275	175	461
276	176	459
277	176	459
278	177	457
279	177	456
280	177	454
281	177	452
282	178	450
283	178	449
284	178	447
285	178	446
286	178	444
287	179	443
288	179	441
289	180	441
290	180	440
291	181	439
292	181	438
293	181	436
294	182	435
295	182	434
296	182	432
297	183	431
298	183	429
299	183	428
300	183	427
301	184	425
302	184	424
303	184	423
304	185	421
305	185	420
306	185	419
307	186	418
308	186	416
309	186	415
310	186	414
311	187	412
312	187	411
313	187	410
314	188	408
315	188	407
316	188	406
317	188	404
318	188	403
319	189	401
320	189	401
321	190	400
322	190	398
323	190	398
324	191	397
325	191	395
326	191	394
327	192	393
328	192	392
329	192	390
330	193	390
331	193	389
332	193	387
333	194	388
334	194	387
335	195	385
336	195	384
337	195	383
338	196	382
339	196	380
340	196	379
341	196	378
342	196	377
343	197	375
344	197	374
345	197	373
346	197	372
347	198	371
348	198	370
349	198	369
350	199	367
351	200	368
352	200	367
353	200	366
354	201	365
355	201	364
356	201	363
357	201	361
358	202	360
359	202	359
360	202	358
361	202	357
362	203	356
363	203	355
364	203	354
365	203	353
366	204	352
367	204	351
368	205	350
369	205	349
370	205	348
371	207	350
372	208	349
373	208	348
374	208	347
375	208	346
376	209	345
377	209	344
378	209	343
379	209	342
380	210	341
381	210	340
382	210	339
383	211	338
384	211	337
385	211	336
386	211	335
387	211	334
388	212	333
389	213	333
390	213	332
391	213	331
392	214	330
393	214	329
394	214	328
395	214	327
396	215	327
397	215	326
398	215	325
399	216	324
400	216	323
401	216	322
402	216	321
403	217	321
404	218	320
405	219	320
406	219	320
407	220	319
408	220	318
409	221	318
410	221	317
411	221	316
412	221	315
413	221	314
414	222	313
415	222	312
416	222	311
417	222	310
418	223	310
419	224	309
420	224	308
421	224	307
422	224	306
423	225	305
424	225	304
425	225	303
426	225	302
427	226	302
428	226	301
429	226	300
430	226	299
431	227	298
432	227	297
433	227	297
434	228	296
435	229	296
436	229	295
437	229	294
438	229	293
439	230	292
440	230	292
441	231	291
442	231	290
443	231	289
444	231	289
445	232	288
446	232	287
447	232	286
448	232	285
449	233	285
450	233	284
451	233	283
452	233	282
453	236	284
454	236	283
455	236	282
456	237	281
457	237	281
458	237	280
459	238	279
460	238	278
461	238	277
462	239	278
463	240	277
464	240	276
465	240	275
466	240	274
467	242	275
468	242	274
469	242	273
470	243	273
471	243	272
472	243	271
473	243	270
474	243	269
475	244	269
476	244	268
477	244	267
478	245	266
479	245	265
480	245	265
481	245	264
482	246	263
483	246	262
484	246	261
485	246	261
486	247	260
487	248	260
488	248	259
489	249	259
490	249	258
491	250	258
492	251	258
493	251	257
494	251	257
495	252	256
496	252	255
497	252	254
498	253	254
499	256	256
500	257	256
501	257	255
502	257	254
503	257	253
504	259	254
505	259	253
506	260	253
507	260	252
508	260	251
509	261	251
510	264	252
511	264	252
512	265	251
513	267	252
514	267	251
515	267	251
516	267	250
517	268	249
518	268	248
519	268	248
520	269	247
521	274	251
522	275	250
523	275	250
524	275	249
525	276	248
526	277	249
527	278	248
528	278	247
529	278	247
530	278	246
531	281	247
532	281	246
533	282	246
534	282	245
535	282	244
536	285	246
537	285	245
538	286	244
539	286	243
540	286	243
541	287	243
542	288	242
543	288	241
544	288	241
545	289	240
546	289	239
547	292	240
548	292	240
549	292	239
550	292	238
551	293	237
552	293	237
553	295	238
554	296	237
555	296	237
556	297	236
557	297	235
558	298	235
559	298	234
560	298	233
561	298	232
562	299	232
563	299	231
564	302	232
565	302	232
566	303	232
567	304	231
568	304	230
569	305	230
570	305	229
571	305	228
572	307	228
573	307	228
574	307	227
575	308	227
576	310	227
577	310	226
578	311	226
579	311	225
580	312	225
581	312	224
582	314	225
583	314	224
584	316	224
585	316	223
586	317	223
587	317	222
588	317	221
589	319	222
